,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-05 09:00:00,0.0,0.0,0.0,-0.0,0.0,846.4382697161395,1606.2386634508277,1.0,0.0,-0.0,-0.0,1606.2386634508277,16647.871190034122,2125.1363785
2018-01-05 10:00:00,0.0,0.0,0.0,-0.0,0.0,847.1300591601806,1614.1253564972797,1.0,0.0,-0.0,-0.0,1614.1253564972797,16226.878627885064,2028.6572615
2018-01-05 11:00:00,0.0,0.0,0.0,-0.0,0.0,847.8530478545781,1622.4160904358112,1.0,0.0,-0.0,-0.0,1622.4160904358112,15872.085411707458,1970.7958295
2018-01-05 12:00:00,0.0,0.0,0.0,-0.0,0.0,848.2973775847619,1627.5201807844448,1.0,0.0,-0.0,-0.0,1627.5201807844448,15628.803728295607,1864.42814825
2018-01-05 13:00:00,0.0,0.0,0.0,-0.0,0.0,848.3935197498578,1628.6236681292569,1.0,0.0,-0.0,-0.0,1628.6236681292569,15450.834787708072,1800.246157
2018-01-05 14:00:00,0.0,0.0,0.0,-0.0,0.0,847.3818420273467,1617.0060045800917,1.0,0.0,-0.0,-0.0,1617.0060045800917,15252.186634045413,1809.32765125
2018-01-05 15:00:00,0.0,0.0,0.0,-0.0,0.0,846.8452318129051,1610.8793382410981,1.0,0.0,-0.0,-0.0,1610.8793382410981,15052.075613507566,1804.686114
2018-01-05 16:00:00,0.0,0.0,0.0,-0.0,0.0,846.5350864647537,1607.3309703366149,1.0,0.0,-0.0,-0.0,1607.3309703366149,14802.200626970438,1850.92413825
2018-01-05 17:00:00,0.0,0.0,0.0,-0.0,0.0,845.1964759733562,1592.1361844549722,1.0,0.0,-0.0,-0.0,1592.1361844549722,14444.209137933196,1943.873858
2018-01-05 18:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,12339.430022033957,2098.56542
2018-01-05 19:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,10232.619347212916,2100.8328585
2018-01-05 20:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,8204.792059893965,2022.08557825
2018-01-05 21:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,6216.692864772108,1982.58474175
2018-01-05 22:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,4263.553655326981,1947.8475595
